settlement_period,gb_time,demand_mw,embedded_wind_mw,transmission_wind_mw,total_wind_mw,solar_mw,nuclear_mw,net_import_mw,residual_before_nuclear_mw,residual_after_nuclear_mw,net_system_short_mw,inertia_gvas,price_p10_gbp_mwh,price_p50_gbp_mwh,price_p90_gbp_mwh,negative_price_probability
1,00:00,21303.0,1309.4444460618602,6599.510687004156,7908.955133066016,6.696890099395053,3943.0,3223.4522668265554,13387.34797683459,9444.34797683459,6220.895710008034,148.70463929464782,68.1164713698873,79.52730822282766,85.89729256949154,0.0
2,00:30,20927.0,1257.5565539725446,6626.225386984883,7883.781940957428,0.0,3939.0,3207.359158692097,13043.218059042572,9104.218059042572,5896.858900350476,149.02244545425697,66.16411024556912,78.69969581245795,85.01828400339501,0.0
3,01:00,20945.0,1077.3465112703786,6436.79464618225,7514.141157452629,0.0,3945.0,3467.6213898460223,13430.858842547372,9485.858842547372,6018.237452701349,143.29094716244413,67.70152834104671,77.94576361501063,83.64629934105159,0.0
4,01:30,20554.0,1069.6864798240565,6217.66853176892,7287.355011592976,0.0,3953.0,3424.692949317357,13266.644988407024,9313.644988407024,5888.952039089667,144.80815191291182,62.63161160772564,77.88105369215859,83.5432403258796,0.0
5,02:00,20443.0,1050.8561205641029,6004.586396826714,7055.442517390817,7.808026940641789,3952.0,3031.9538841897383,13379.74945566854,9427.74945566854,6395.795571478803,142.01715605861344,58.031173866077694,71.2563523437945,76.67540876252396,0.0
6,02:30,20307.0,974.9932985536324,5897.82619271475,6872.819491268382,7.084461974545445,3949.0,3216.8662603940315,13427.096046757071,9478.096046757071,6261.229786363041,141.63586361593028,55.382252555098965,70.73894968197021,74.79670911308376,0.0
7,03:00,19725.0,906.5196224266856,5693.026575679369,6599.546198106054,5.7558110433143925,3945.0,3310.6347256407685,13119.697990850633,9174.697990850633,5864.063265209863,142.12369340682426,54.81311419517132,70.27673939938458,73.921018827735,0.0
8,03:30,19259.0,875.9645516249111,5635.691178982167,6511.655730607078,5.548747456932144,3954.0,3320.1701359452554,12741.79552193599,8787.79552193599,5467.625385990735,141.46940503594547,58.74146621036,75.37850839572573,80.2738782464917,0.0
9,04:00,19167.0,847.06076944345,5473.813818436029,6320.874587879479,6.498083504751503,3949.0,2975.9453612601988,12839.62732861577,8890.62732861577,5914.681967355571,140.17915240881896,56.39744923379708,74.74144812467148,80.93482001238863,0.0
10,04:30,19132.0,854.8129805552702,5131.393999284951,5986.206979840221,12.307650927626376,3949.0,2512.596113891481,13133.485369232152,9184.485369232152,6671.889255340671,143.02244522422868,62.46073571201355,76.20484249014092,83.06882255441224,0.0
11,05:00,18981.0,910.4632120052185,5245.266033215379,6155.7292452205975,11.97468661899277,3951.0,2382.5948240087714,12813.296068160407,8862.296068160409,6479.701244151638,146.39513506886965,58.4509069527202,75.38743104040964,82.83411717484809,0.0
12,05:30,19178.0,917.6889242008948,5017.023921248793,5934.712845449688,55.70655069264414,3956.0,2639.29050702219,13187.580603857668,9231.580603857668,6592.290096835479,154.037644480327,67.0770888614256,80.62470349645204,87.92295865611699,0.0
13,06:00,20703.0,950.896130338012,4831.8516743361415,5782.7478046741535,173.7438010674567,3955.0,2699.498745127616,14746.50839425839,10791.50839425839,8092.009649130774,162.44640396899473,74.11952256095543,83.9618660486793,91.35233525820394,0.0
14,06:30,21334.0,864.566119997693,4781.20396564364,5645.770085641333,774.7411886814498,3953.0,3628.716747888415,14913.488725677216,10960.488725677216,7331.771977788801,166.7132757453244,79.21102669242936,88.66858161654974,96.93593243771883,0.0
15,07:00,22640.0,855.943711230836,4723.287687183922,5579.231398414758,1814.359647159688,3955.0,4531.61120872606,15246.408954425557,11291.408954425557,6759.797745699495,167.66927765614702,78.37861754364764,86.98775398328954,93.04495899662255,0.0
16,07:30,23102.0,666.4045090525537,4462.184072549833,5128.588581602387,2807.937022971932,3954.0,4867.100186397027,15165.47439542568,11211.47439542568,6344.374209028654,163.5743971061007,77.47218378849344,86.01068891795072,92.41525715121703,0.0
17,08:00,23417.0,656.7473690834481,4415.353016362755,5072.100385446203,3630.789155390787,3951.0,5966.163725543167,14714.11045916301,10763.11045916301,4796.946733619843,167.24498319333446,78.17303791943021,85.05537646638454,91.21040189968296,0.0
18,08:30,23075.0,633.6607468043526,4363.846348581452,4997.507095385805,5029.450175048662,3947.0,5655.823195309203,13048.042729565534,9101.042729565534,3445.219534256331,160.64571410535268,75.00895468947945,82.37044388452011,86.71393041997328,0.0
19,09:00,23157.0,673.1291174499803,4290.616172505229,4963.745289955209,6222.886471808203,3947.0,5822.617662026627,11970.368238236588,8023.368238236588,2200.750576209961,162.43507066776445,70.76649112058914,79.53921179760609,84.10604104680523,0.0
20,09:30,22059.0,568.670755123735,4173.588282238001,4742.259037361736,7367.8763808901185,3946.0,6254.220189696933,9948.864581748145,6002.864581748145,-251.355607948788,166.98779952163068,63.4117362844385,76.91631032174067,81.92879851701203,0.0
21,10:00,21563.0,539.2057912380537,3826.47623587616,4365.682027114213,8312.521521468276,3948.0,6210.273993893303,8884.796451417511,4936.796451417511,-1273.4775424757918,169.89496380438052,61.876400603860034,76.36841491985099,80.71015407852963,0.0
22,10:30,21022.0,539.4705474110057,4107.454994070083,4646.925541481089,9213.157036178469,3962.0,6307.839530820511,7161.9174223404425,3199.9174223404425,-3107.9221084800683,165.29977799939047,58.81562285098229,70.14664937356213,77.88504512797243,0.0
23,11:00,20342.0,632.9970674076047,4330.641561412456,4963.638628820061,9911.730879993993,3957.0,6306.820058284995,5466.630491185948,1509.630491185948,-4797.189567099047,161.05010620620016,59.37813180785421,65.89872645573965,75.81001335208836,0.0
24,11:30,19825.0,531.0475438775151,3944.036394276941,4475.0839381544565,10858.654342097216,3952.0,6283.695551033402,4491.261719748327,539.2617197483269,-5744.433831285075,161.47488777038754,55.68379397114161,62.14184171691737,74.12253842717301,0.0
25,12:00,19649.0,532.4182364955753,3732.046659900181,4264.464896395756,11439.031196684591,3947.0,6554.243165041959,3945.50390691965,-1.496093080349965,-6555.739258122309,166.0168215511676,57.55403656435653,62.94201956438171,73.14058619663126,0.0
26,12:30,19314.0,556.6737947910458,3538.0519145277426,4094.725709318788,11661.198732973153,3949.0,6551.821144786183,3558.07555770806,-390.92444229194007,-6942.745587078123,159.02762700940423,59.56480459749933,64.72688786510517,72.87006086203725,0.0
27,13:00,18552.0,553.5735711646864,3512.4762357097466,4066.0498068744328,11580.258645029931,3950.0,6719.699382926492,2905.691548095636,-1044.308451904364,-7764.007834830856,155.05809488645664,60.4073586811623,65.18641816365071,70.71250042630636,0.0
28,13:30,17694.0,609.979916782413,3447.6801920347257,4057.6601088171383,10727.241381759271,3954.0,6961.297811329954,2909.0985094235875,-1044.9014905764125,-8006.199301906367,156.00661311693892,49.31242727455964,56.87284939917947,62.21944132861727,0.0
