delivery_date,model_version,forecast_issue_time_utc,forecast_run_id,period_count,monte_carlo_scenarios,p50_min_gbp_mwh,p50_mean_gbp_mwh,p50_max_gbp_mwh,probability_any_negative_period,scenario_var_gbp,expected_shortfall_gbp,worst_loss_gbp,best_profit_gbp,actual_revision,actual_periods,graded_periods,model_mae_gbp_mwh,model_rmse_gbp_mwh,model_bias_gbp_mwh,persistence_mae_gbp_mwh,improvement_percent,p10_p90_coverage,actual_negative_periods,deployment_ready,deployment_mode,graded_delivery_days_total,deployment_improvement_percent
2026-08-01,core-12m-operational-v1,2026-07-31T13:35:38Z,30635063068,48,1000,20.00683022140521,64.25921931035937,98.75531703739713,0.001,13446.297717317333,15130.521627365843,19437.836187362143,5761.391737364628,initial,48,48,49.8261973563073,53.358568822116965,-49.8261973563073,10.920000000000002,-356.2838585742426,0.14583333333333334,0,False,shadow_only,11,-101.77516742916096
2026-08-02,core-12m-operational-v1,,,,,,,,,,,,,initial,48,0,,,,,,,,False,shadow_only,1,-401.06360792632574
2026-08-03,core-12m-operational-v1,2026-08-02T00:39:46Z,30725613899,48,1000,30.696473610870704,73.59496572701165,113.3314451356204,0.026,20313.966283951027,22333.765889563976,27527.734927620608,2550.3465081601194,initial,48,48,52.12524260632168,53.166305756305704,-52.12524260632168,10.405416666666666,-400.9433478363514,0.0,0,False,shadow_only,11,-101.77516742916096
2026-08-04,core-12m-operational-v1,2026-08-03T00:48:44Z,30775344272,48,1000,44.35193088916153,70.83303074474814,94.88245287526085,0.001,15821.866019214016,17843.039458770618,21756.03825236512,2445.702426587339,initial,48,48,49.22905258858518,50.329299044466026,-49.22905258858518,8.130208333333334,-505.50788577888244,0.0,0,False,shadow_only,11,-101.77516742916096
2026-08-05,core-12m-operational-v1,2026-08-04T13:27:49Z,30913916966,48,1000,39.748920710141654,69.08552555350536,95.26765993841994,0.207,26440.8670892549,28375.667177552696,32890.36054720413,-498.3102036538926,initial,48,48,37.17044269204243,41.67762965189952,-15.320516113161295,38.521458333333335,3.5071767782006527,0.14583333333333334,0,False,shadow_only,11,-101.77516742916096
2026-08-06,core-12m-operational-v1,2026-08-05T13:26:45Z,31010212046,48,1000,28.816948820076526,59.51263628877302,105.95108924191183,0.117,15979.382403974201,18170.11657152897,23789.13738690652,4619.599049243468,initial,48,48,55.09840537789366,59.39870744914318,-55.09840537789366,35.55708333333334,-54.95760679065912,0.020833333333333332,0,False,shadow_only,11,-101.77516742916096
2026-08-07,core-12m-operational-v1,2026-08-06T13:24:37Z,31105757929,48,1000,37.65998261069138,70.20438542915979,97.1657634036614,0.0,13846.523168986701,15304.527630415856,18288.493351200697,2304.3009035412515,initial,48,48,39.07228123750687,42.106477541219604,-39.07228123750687,13.353958333333336,-192.5895098832009,0.08333333333333333,0,False,shadow_only,11,-101.77516742916096
2026-08-08,core-12m-operational-v1,2026-08-07T12:37:14Z,31178584687,48,1000,11.486709443929225,56.50817945109386,90.35690155577319,0.107,15407.932027358567,17904.822690063775,22119.016427104318,7037.747176840286,initial,48,48,43.23565467083321,48.33457515960873,-26.23577888223947,32.20604166666667,-34.247030784854935,0.125,10,False,shadow_only,11,-101.77516742916096
2026-08-09,core-12m-operational-v1,2026-08-08T12:16:55Z,31256870964,48,1000,13.24959324226672,66.9283358083468,113.015014259736,0.208,15981.9656217536,18008.07848057664,22269.657465772885,6218.358484866509,initial,48,48,37.2755483864133,39.918900067581625,-25.630830858319857,15.900208333333333,-134.43433950653665,0.125,0,False,shadow_only,11,-101.77516742916096
2026-08-10,core-12m-operational-v1,2026-08-09T12:19:05Z,31312975057,48,1000,64.14886034165838,83.87738381233328,116.0042000081924,0.0,15585.86491550004,17098.762350128076,20939.023320726126,788.8706273380159,initial,48,48,35.237824521000064,37.96836181537733,-35.237824521000064,33.439375000000005,-5.378239040054003,0.0,0,False,shadow_only,11,-101.77516742916096
2026-08-11,core-12m-operational-v1,2026-08-10T12:35:09Z,31388702038,48,1000,65.40423501751687,83.93423688745732,101.91291750159945,0.0,4071.8529706785243,5153.452952043458,7197.3944261588185,8316.190255283302,initial,48,48,49.21930477920936,53.862462174350256,-49.21930477920936,16.327916666666667,-201.44265054763687,0.0,0,False,shadow_only,11,-101.77516742916096
2026-08-12,core-12m-operational-v1,2026-08-11T12:31:42Z,31491645265,48,1000,50.24071304471556,80.9687344830621,121.79969931636,0.0,5172.511897563042,6758.053249354191,10876.00337702526,11022.069698638465,initial,48,48,54.97418218360457,57.27058520166904,-54.97418218360457,21.498541666666668,-155.7112153743974,0.0,0,False,shadow_only,11,-101.77516742916096
2026-08-13,core-12m-operational-v1,2026-08-12T12:35:30Z,31597165444,48,1000,72.56195823042805,90.74682440615409,138.5215700550006,0.0,2564.5265289288027,3628.5828699539857,8296.13234407047,11883.549451053736,,,,,,,,,,,,,,
2026-08-14,core-12m-operational-v1,2026-08-13T12:35:51Z,31700778878,48,1000,50.620294798124796,80.67389419907772,119.08684609140902,0.0,4164.904332871937,5232.74698237894,8818.208655540984,9621.955685484158,,,,,,,,,,,,,,
