delivery_date,model_version,forecast_issue_time_utc,github_run_id,github_run_attempt,period_count,monte_carlo_scenarios,p50_min_gbp_mwh,p50_mean_gbp_mwh,p50_max_gbp_mwh,probability_any_negative_period,scenario_var_gbp,expected_shortfall_gbp,worst_loss_gbp,best_profit_gbp,component_sources,detail_path
2026-08-01,core-12m-operational-v1,2026-07-31T13:35:38Z,30635063068,1,48,1000,20.00683022140521,64.25921931035937,98.75531703739713,0.001,13446.297717317333,15130.521627365843,19437.836187362143,5761.391737364628,"{""demand_mw"": ""fallback_d7"", ""embedded_solar_mw"": ""model"", ""embedded_wind_mw"": ""model"", ""inertia_gvas"": ""model"", ""net_import_mw"": ""model"", ""nuclear_mw"": ""fallback_d7"", ""transmission_wind_mw"": ""model""}",logs/daily/2026-08-01/forecast-run-30635063068-attempt-1.json
2026-08-03,core-12m-operational-v1,2026-08-02T00:39:46Z,30725613899,1,48,1000,30.696473610870704,73.59496572701165,113.3314451356204,0.026,20313.966283951027,22333.765889563976,27527.734927620608,2550.3465081601194,"{""demand_mw"": ""fallback_d7"", ""embedded_solar_mw"": ""model"", ""embedded_wind_mw"": ""model"", ""inertia_gvas"": ""model"", ""net_import_mw"": ""model"", ""nuclear_mw"": ""fallback_d7"", ""transmission_wind_mw"": ""model""}",logs/daily/2026-08-03/forecast-run-30725613899-attempt-1.json
2026-08-04,core-12m-operational-v1,2026-08-03T00:48:44Z,30775344272,1,48,1000,44.35193088916153,70.83303074474814,94.88245287526085,0.001,15821.866019214016,17843.039458770618,21756.03825236512,2445.702426587339,"{""demand_mw"": ""fallback_d7"", ""embedded_solar_mw"": ""model"", ""embedded_wind_mw"": ""model"", ""inertia_gvas"": ""model"", ""net_import_mw"": ""model"", ""nuclear_mw"": ""fallback_d7"", ""transmission_wind_mw"": ""model""}",logs/daily/2026-08-04/forecast-run-30775344272-attempt-1.json
2026-08-05,core-12m-operational-v1,2026-08-04T13:27:49Z,30913916966,1,48,1000,39.748920710141654,69.08552555350536,95.26765993841994,0.207,26440.8670892549,28375.667177552696,32890.36054720413,-498.3102036538926,"{""demand_mw"": ""fallback_d7"", ""embedded_solar_mw"": ""model"", ""embedded_wind_mw"": ""model"", ""inertia_gvas"": ""model"", ""net_import_mw"": ""model"", ""nuclear_mw"": ""fallback_d7"", ""transmission_wind_mw"": ""model""}",logs/daily/2026-08-05/forecast-run-30913916966-attempt-1.json
2026-08-06,core-12m-operational-v1,2026-08-05T13:26:45Z,31010212046,1,48,1000,28.816948820076526,59.51263628877302,105.95108924191183,0.117,15979.382403974201,18170.11657152897,23789.13738690652,4619.599049243468,"{""demand_mw"": ""fallback_d7"", ""embedded_solar_mw"": ""model"", ""embedded_wind_mw"": ""model"", ""inertia_gvas"": ""model"", ""net_import_mw"": ""model"", ""nuclear_mw"": ""fallback_d7"", ""transmission_wind_mw"": ""model""}",logs/daily/2026-08-06/forecast-run-31010212046-attempt-1.json
2026-08-07,core-12m-operational-v1,2026-08-06T13:24:37Z,31105757929,1,48,1000,37.65998261069138,70.20438542915979,97.1657634036614,0.0,13846.523168986701,15304.527630415856,18288.493351200697,2304.3009035412515,"{""demand_mw"": ""fallback_d7"", ""embedded_solar_mw"": ""model"", ""embedded_wind_mw"": ""model"", ""inertia_gvas"": ""model"", ""net_import_mw"": ""model"", ""nuclear_mw"": ""fallback_d7"", ""transmission_wind_mw"": ""model""}",logs/daily/2026-08-07/forecast-run-31105757929-attempt-1.json
2026-08-08,core-12m-operational-v1,2026-08-07T12:37:14Z,31178584687,1,48,1000,11.486709443929225,56.50817945109386,90.35690155577319,0.107,15407.932027358567,17904.822690063775,22119.016427104318,7037.747176840286,"{""demand_mw"": ""fallback_d7"", ""embedded_solar_mw"": ""model"", ""embedded_wind_mw"": ""model"", ""inertia_gvas"": ""model"", ""net_import_mw"": ""model"", ""nuclear_mw"": ""fallback_d7"", ""transmission_wind_mw"": ""model""}",logs/daily/2026-08-08/forecast-run-31178584687-attempt-1.json
2026-08-09,core-12m-operational-v1,2026-08-08T12:16:55Z,31256870964,1,48,1000,13.24959324226672,66.9283358083468,113.015014259736,0.208,15981.9656217536,18008.07848057664,22269.657465772885,6218.358484866509,"{""demand_mw"": ""fallback_d7"", ""embedded_solar_mw"": ""model"", ""embedded_wind_mw"": ""model"", ""inertia_gvas"": ""model"", ""net_import_mw"": ""model"", ""nuclear_mw"": ""fallback_d7"", ""transmission_wind_mw"": ""model""}",logs/daily/2026-08-09/forecast-run-31256870964-attempt-1.json
2026-08-10,core-12m-operational-v1,2026-08-09T12:19:05Z,31312975057,1,48,1000,64.14886034165838,83.87738381233328,116.0042000081924,0.0,15585.86491550004,17098.762350128076,20939.023320726126,788.8706273380159,"{""demand_mw"": ""fallback_d7"", ""embedded_solar_mw"": ""model"", ""embedded_wind_mw"": ""model"", ""inertia_gvas"": ""model"", ""net_import_mw"": ""model"", ""nuclear_mw"": ""fallback_d7"", ""transmission_wind_mw"": ""model""}",logs/daily/2026-08-10/forecast-run-31312975057-attempt-1.json
2026-08-11,core-12m-operational-v1,2026-08-10T12:35:09Z,31388702038,1,48,1000,65.40423501751687,83.93423688745732,101.91291750159945,0.0,4071.8529706785243,5153.452952043458,7197.3944261588185,8316.190255283302,"{""demand_mw"": ""fallback_d7"", ""embedded_solar_mw"": ""model"", ""embedded_wind_mw"": ""model"", ""inertia_gvas"": ""model"", ""net_import_mw"": ""model"", ""nuclear_mw"": ""fallback_d7"", ""transmission_wind_mw"": ""model""}",logs/daily/2026-08-11/forecast-run-31388702038-attempt-1.json
